"","Station","Date","TRP","TPO4","Month","Day","Time","Year","Hour","Minute","RANK","PERCENT_RANK","Scaled_Value","24_hour_mean","Diff_24_hour_mean","Percent difference from daily mean","date","Flow","Season","Flow Category"
"1","G381",2012-07-06,0,13,"Jul",6,1.05,2012,1,3,2,0.375,0.684210526315789,15.25,-2.25,-14.7540983606557,2012-07-06 01:03:00,168.69,"Wet Season","100-250 (cfs)"
"2","G381",2012-07-06,4,13,"Jul",6,4.05,2012,4,3,3,0.375,0.684210526315789,15.25,-2.25,-14.7540983606557,2012-07-06 04:03:00,4.5,"Wet Season","1-100 (cfs)"
"3","G381",2012-07-06,-2,12,"Jul",6,7.05,2012,7,3,1,0.125,0.631578947368421,15.25,-3.25,-21.3114754098361,2012-07-06 07:03:00,9.06,"Wet Season","1-100 (cfs)"
"4","G381",2012-07-06,-2,12,"Jul",6,7.05,2012,7,3,1,0.125,0.631578947368421,15.25,-3.25,-21.3114754098361,2012-07-06 07:03:13,9.27,"Wet Season","1-100 (cfs)"
"5","G381",2012-07-06,-2,12,"Jul",6,7.05,2012,7,3,1,0.125,0.631578947368421,15.25,-3.25,-21.3114754098361,2012-07-06 07:03:25,9.39,"Wet Season","1-100 (cfs)"
"6","G381",2012-07-06,-2,19,"Jul",6,10.05,2012,10,3,7,1,1,15.25,3.75,24.5901639344262,2012-07-06 10:03:00,512.95,"Wet Season","500-1000 (cfs)"
"7","G381",2012-07-06,-2,19,"Jul",6,10.05,2012,10,3,7,1,1,15.25,3.75,24.5901639344262,2012-07-06 10:02:38,500.3,"Wet Season","500-1000 (cfs)"
"8","G381",2012-07-06,0,19,"Jul",6,13.05,2012,13,3,8,1,1,15.25,3.75,24.5901639344262,2012-07-06 13:03:00,169.11,"Wet Season","100-250 (cfs)"
"9","G381",2012-07-06,2,15,"Jul",6,16.05,2012,16,3,4,0.625,0.789473684210526,15.25,-0.25,-1.63934426229508,2012-07-06 16:03:00,168.12,"Wet Season","100-250 (cfs)"
"10","G381",2012-07-06,0,16,"Jul",6,19.05,2012,19,3,6,0.75,0.842105263157895,15.25,0.75,4.91803278688525,2012-07-06 19:03:00,133.78,"Wet Season","100-250 (cfs)"
"11","G381",2012-07-06,0,15,"Jul",6,22.05,2012,22,3,5,0.625,0.789473684210526,15.25,-0.25,-1.63934426229508,2012-07-06 22:03:00,121.71,"Wet Season","100-250 (cfs)"
"12","G381",2012-07-11,0,13,"Jul",11,1.05,2012,1,3,2,0.375,0.8125,14.125,-1.125,-7.9646017699115,2012-07-11 01:03:00,219.46,"Wet Season","100-250 (cfs)"
"13","G381",2012-07-11,0,12,"Jul",11,4.05,2012,4,3,1,0.125,0.75,14.125,-2.125,-15.0442477876106,2012-07-11 04:03:00,170.65,"Wet Season","100-250 (cfs)"
"14","G381",2012-07-11,-1,14,"Jul",11,7.05,2012,7,3,4,0.625,0.875,14.125,-0.125,-0.884955752212389,2012-07-11 07:03:00,5.85,"Wet Season","1-100 (cfs)"
"15","G381",2012-07-11,0,13,"Jul",11,10.05,2012,10,3,3,0.375,0.8125,14.125,-1.125,-7.9646017699115,2012-07-11 10:03:00,7.29,"Wet Season","1-100 (cfs)"
"16","G381",2012-07-11,0,14,"Jul",11,13.05,2012,13,3,5,0.625,0.875,14.125,-0.125,-0.884955752212389,2012-07-11 13:03:00,164.87,"Wet Season","100-250 (cfs)"
"17","G381",2012-07-11,0,16,"Jul",11,16.05,2012,16,3,7,1,1,14.125,1.875,13.2743362831858,2012-07-11 16:03:00,160.55,"Wet Season","100-250 (cfs)"
"18","G381",2012-07-11,0,16,"Jul",11,19.05,2012,19,3,8,1,1,14.125,1.875,13.2743362831858,2012-07-11 19:03:00,148.51,"Wet Season","100-250 (cfs)"
"19","G381",2012-07-11,0,15,"Jul",11,22.05,2012,22,3,6,0.75,0.9375,14.125,0.875,6.19469026548673,2012-07-11 22:03:00,150.01,"Wet Season","100-250 (cfs)"
"20","G381",2012-07-12,0,14,"Jul",12,1.05,2012,1,3,3,0.5,0.823529411764706,14.5,-0.5,-3.44827586206897,2012-07-12 01:03:00,146.26,"Wet Season","100-250 (cfs)"
"21","G381",2012-07-12,0,14,"Jul",12,4.05,2012,4,3,4,0.5,0.823529411764706,14.5,-0.5,-3.44827586206897,2012-07-12 04:03:00,142.73,"Wet Season","100-250 (cfs)"
"22","G381",2012-07-12,0,13,"Jul",12,7.05,2012,7,3,2,0.25,0.764705882352941,14.5,-1.5,-10.3448275862069,2012-07-12 07:03:00,266.28,"Wet Season","250-500 (cfs)"
"23","G381",2012-07-12,0,13,"Jul",12,7.05,2012,7,3,2,0.25,0.764705882352941,14.5,-1.5,-10.3448275862069,2012-07-12 07:02:31,359.65,"Wet Season","250-500 (cfs)"
"24","G381",2012-07-12,0,13,"Jul",12,7.05,2012,7,3,2,0.25,0.764705882352941,14.5,-1.5,-10.3448275862069,2012-07-12 07:02:36,359.65,"Wet Season","250-500 (cfs)"
"25","G381",2012-07-12,0,13,"Jul",12,7.05,2012,7,3,2,0.25,0.764705882352941,14.5,-1.5,-10.3448275862069,2012-07-12 07:02:53,359.65,"Wet Season","250-500 (cfs)"
