"Station","Date","TRP","TPO4","Month","Day","Time","Year","Hour","Minute","RANK","PERCENT_RANK","Scaled_Value","24_hour_mean","Diff_24_hour_mean","Percent difference from daily mean","Flow","HLR","Season","Flow Category"
"G381",2012-07-05,0,19,"Jul",5,16.05,2012,16,3,2,0.666666666666667,0.904761904761905,19.3333333333333,-0.333333333333332,-1.72413793103448,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-05,1,21,"Jul",5,19.05,2012,19,3,3,1,1,19.3333333333333,1.66666666666667,8.62068965517242,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-05,0,18,"Jul",5,22.05,2012,22,3,1,0.333333333333333,0.857142857142857,19.3333333333333,-1.33333333333333,-6.89655172413793,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-06,0,13,"Jul",6,1.05,2012,1,3,2,0.375,0.684210526315789,15.25,-2.25,-14.7540983606557,283.694666666667,0.135934195815365,"Wet Season","250-500 (cfs)"
"G381",2012-07-06,4,13,"Jul",6,4.05,2012,4,3,3,0.375,0.684210526315789,15.25,-2.25,-14.7540983606557,185.316,0.0887954000958313,"Wet Season","100-250 (cfs)"
"G381",2012-07-06,-2,12,"Jul",6,7.05,2012,7,3,1,0.125,0.631578947368421,15.25,-3.25,-21.3114754098361,4.87692307692308,0.00233681029081125,"Wet Season","1-100 (cfs)"
"G381",2012-07-06,-2,19,"Jul",6,10.05,2012,10,3,7,1,1,15.25,3.75,24.5901639344262,8.38909090909091,0.00401968898375223,"Wet Season","1-100 (cfs)"
"G381",2012-07-06,0,19,"Jul",6,13.05,2012,13,3,8,1,1,15.25,3.75,24.5901639344262,10.6015384615385,0.00507979801702849,"Wet Season","1-100 (cfs)"
"G381",2012-07-06,2,15,"Jul",6,16.05,2012,16,3,4,0.625,0.789473684210526,15.25,-0.25,-1.63934426229508,283.776341463415,0.13597333084016,"Wet Season","250-500 (cfs)"
"G381",2012-07-06,0,16,"Jul",6,19.05,2012,19,3,6,0.75,0.842105263157895,15.25,0.75,4.91803278688525,178.900909090909,0.0857215664067605,"Wet Season","100-250 (cfs)"
"G381",2012-07-06,0,15,"Jul",6,22.05,2012,22,3,5,0.625,0.789473684210526,15.25,-0.25,-1.63934426229508,141.429,0.0677666506947772,"Wet Season","100-250 (cfs)"
"G381",2012-07-07,0,16,"Jul",7,1.05,2012,1,3,1,0.375,0.842105263157895,17,-1,-5.88235294117647,128.51625,0.0615794202204121,"Wet Season","100-250 (cfs)"
"G381",2012-07-07,0,16,"Jul",7,4.05,2012,4,3,2,0.375,0.842105263157895,17,-1,-5.88235294117647,101.494545454545,0.0486317898680141,"Wet Season","100-250 (cfs)"
"G381",2012-07-07,-1,17,"Jul",7,7.05,2012,7,3,4,0.75,0.894736842105263,17,0,0,48.45,0.0232151413512218,"Wet Season","1-100 (cfs)"
"G381",2012-07-07,0,19,"Jul",7,10.05,2012,10,3,8,1,1,17,2,11.7647058823529,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-07,1,18,"Jul",7,13.05,2012,13,3,7,0.875,0.947368421052632,17,1,5.88235294117647,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-07,0,17,"Jul",7,16.05,2012,16,3,5,0.75,0.894736842105263,17,0,0,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-07,0,16,"Jul",7,19.05,2012,19,3,3,0.375,0.842105263157895,17,-1,-5.88235294117647,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-07,0,17,"Jul",7,22.05,2012,22,3,6,0.75,0.894736842105263,17,0,0,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-08,0,15,"Jul",8,1.05,2012,1,3,2,0.25,0.833333333333333,16,-1,-6.25,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-08,0,16,"Jul",8,4.05,2012,4,3,3,0.75,0.888888888888889,16,0,0,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-08,0,14,"Jul",8,7.05,2012,7,3,1,0.125,0.777777777777778,16,-2,-12.5,144.987037037037,0.0694715079238318,"Wet Season","100-250 (cfs)"
"G381",2012-07-08,0,17,"Jul",8,10.05,2012,10,3,7,0.875,0.944444444444444,16,1,6.25,170.388571428571,0.0816428229173797,"Wet Season","100-250 (cfs)"
"G381",2012-07-08,0,18,"Jul",8,13.05,2012,13,3,8,1,1,16,2,12.5,139.34875,0.0667698850023958,"Wet Season","100-250 (cfs)"
"G381",2012-07-08,0,16,"Jul",8,16.05,2012,16,3,4,0.75,0.888888888888889,16,0,0,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-08,0,16,"Jul",8,19.05,2012,19,3,5,0.75,0.888888888888889,16,0,0,73.1976271186441,0.0350731323040939,"Wet Season","1-100 (cfs)"
"G381",2012-07-08,0,16,"Jul",8,22.05,2012,22,3,6,0.75,0.888888888888889,16,0,0,85.1809615384615,0.0408150270907818,"Wet Season","1-100 (cfs)"
"G381",2012-07-09,0,15,"Jul",9,1.05,2012,1,3,2,0.5,0.833333333333333,15.875,-0.875,-5.51181102362205,150.58125,0.0721520124580738,"Wet Season","100-250 (cfs)"
"G381",2012-07-09,-1,14,"Jul",9,4.05,2012,4,3,1,0.125,0.777777777777778,15.875,-1.875,-11.8110236220472,137.01,0.0656492573071394,"Wet Season","100-250 (cfs)"
"G381",2012-07-09,0,16,"Jul",9,7.05,2012,7,3,5,0.75,0.888888888888889,15.875,0.125,0.78740157480315,54.4015909090909,0.0260668859171495,"Wet Season","1-100 (cfs)"
"G381",2012-07-09,0,16,"Jul",9,10.05,2012,10,3,6,0.75,0.888888888888889,15.875,0.125,0.78740157480315,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-09,0,18,"Jul",9,13.05,2012,13,3,7,1,1,15.875,2.125,13.3858267716535,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-09,1,18,"Jul",9,16.05,2012,16,3,8,1,1,15.875,2.125,13.3858267716535,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-09,0,15,"Jul",9,19.05,2012,19,3,3,0.5,0.833333333333333,15.875,-0.875,-5.51181102362205,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-09,0,15,"Jul",9,22.05,2012,22,3,4,0.5,0.833333333333333,15.875,-0.875,-5.51181102362205,240.216627906977,0.115101402926199,"Wet Season","100-250 (cfs)"
"G381",2012-07-10,0,16,"Jul",10,1.05,2012,1,3,4,0.625,0.842105263157895,16.125,-0.125,-0.775193798449612,300.43,0.143953042644945,"Wet Season","250-500 (cfs)"
"G381",2012-07-10,1,15,"Jul",10,4.05,2012,4,3,2,0.375,0.789473684210526,16.125,-1.125,-6.97674418604651,208.188,0.0997546717776713,"Wet Season","100-250 (cfs)"
"G381",2012-07-10,-1,14,"Jul",10,7.05,2012,7,3,1,0.125,0.736842105263158,16.125,-2.125,-13.1782945736434,71.8945161290323,0.0344487379631204,"Wet Season","1-100 (cfs)"
"G381",2012-07-10,2,19,"Jul",10,10.05,2012,10,3,8,1,1,16.125,2.875,17.8294573643411,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-10,0,15,"Jul",10,13.05,2012,13,3,3,0.375,0.789473684210526,16.125,-1.125,-6.97674418604651,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-10,3,17,"Jul",10,16.05,2012,16,3,6,0.875,0.894736842105263,16.125,0.875,5.42635658914729,0,0,"Wet Season","0-1 (cfs)"
"G381",2012-07-10,0,16,"Jul",10,19.05,2012,19,3,5,0.625,0.842105263157895,16.125,-0.125,-0.775193798449612,199.232542372881,0.0954636043952474,"Wet Season","100-250 (cfs)"
"G381",2012-07-10,0,17,"Jul",10,22.05,2012,22,3,7,0.875,0.894736842105263,16.125,0.875,5.42635658914729,358.299166666667,0.171681440664431,"Wet Season","250-500 (cfs)"
"G381",2012-07-11,0,13,"Jul",11,1.05,2012,1,3,2,0.375,0.8125,14.125,-1.125,-7.9646017699115,279.707142857143,0.134023547128482,"Wet Season","250-500 (cfs)"
"G381",2012-07-11,0,12,"Jul",11,4.05,2012,4,3,1,0.125,0.75,14.125,-2.125,-15.0442477876106,227.532857142857,0.109023889383257,"Wet Season","100-250 (cfs)"
"G381",2012-07-11,-1,14,"Jul",11,7.05,2012,7,3,4,0.625,0.875,14.125,-0.125,-0.884955752212389,166.516666666667,0.0797875738699888,"Wet Season","100-250 (cfs)"
"G381",2012-07-11,0,13,"Jul",11,10.05,2012,10,3,3,0.375,0.8125,14.125,-1.125,-7.9646017699115,8.643,0.00414135122184954,"Wet Season","1-100 (cfs)"
"G381",2012-07-11,0,14,"Jul",11,13.05,2012,13,3,5,0.625,0.875,14.125,-0.125,-0.884955752212389,6.85769230769231,0.00328590910766282,"Wet Season","1-100 (cfs)"
"G381",2012-07-11,0,16,"Jul",11,16.05,2012,16,3,7,1,1,14.125,1.875,13.2743362831858,169.748571428571,0.0813361626394688,"Wet Season","100-250 (cfs)"
"G381",2012-07-11,0,16,"Jul",11,19.05,2012,19,3,8,1,1,14.125,1.875,13.2743362831858,173.16125,0.0829713703881169,"Wet Season","100-250 (cfs)"
"G381",2012-07-11,0,15,"Jul",11,22.05,2012,22,3,6,0.75,0.9375,14.125,0.875,6.19469026548673,144.148571428571,0.0690697515230337,"Wet Season","100-250 (cfs)"
"G381",2012-07-12,0,14,"Jul",12,1.05,2012,1,3,3,0.5,0.823529411764706,14.5,-0.5,-3.44827586206897,145.475714285714,0.0697056608939695,"Wet Season","100-250 (cfs)"
"G381",2012-07-12,0,14,"Jul",12,4.05,2012,4,3,4,0.5,0.823529411764706,14.5,-0.5,-3.44827586206897,144.911428571429,0.0694352796221507,"Wet Season","100-250 (cfs)"
"G381",2012-07-12,0,13,"Jul",12,7.05,2012,7,3,2,0.25,0.764705882352941,14.5,-1.5,-10.3448275862069,146.74,0.0703114518447532,"Wet Season","100-250 (cfs)"
"G381",2012-07-12,0,12,"Jul",12,10.05,2012,10,3,1,0.125,0.705882352941177,14.5,-2.5,-17.2413793103448,249.671739130435,0.119631882669111,"Wet Season","100-250 (cfs)"
"G381",2012-07-12,0,15,"Jul",12,13.05,2012,13,3,5,0.75,0.882352941176471,14.5,0.5,3.44827586206897,281.126842105263,0.134703805512824,"Wet Season","250-500 (cfs)"
"G381",2012-07-12,3,16,"Jul",12,16.05,2012,16,3,7,0.875,0.941176470588235,14.5,1.5,10.3448275862069,5.37878048780488,0.00257727862376851,"Wet Season","1-100 (cfs)"
"G381",2012-07-12,0,17,"Jul",12,19.05,2012,19,3,8,1,1,14.5,2.5,17.2413793103448,4.85615384615385,0.00232685857506174,"Wet Season","1-100 (cfs)"
"G381",2012-07-12,1,15,"Jul",12,22.05,2012,22,3,6,0.75,0.882352941176471,14.5,0.5,3.44827586206897,4.98333333333333,0.00238779747644146,"Wet Season","1-100 (cfs)"
"G381",2012-07-13,0,17,"Jul",13,1.05,2012,1,3,7,0.875,0.944444444444444,15.125,1.875,12.396694214876,4.78714285714286,0.0022937914983914,"Wet Season","1-100 (cfs)"
"G381",2012-07-13,-2,13,"Jul",13,4.05,2012,4,3,1,0.125,0.722222222222222,15.125,-2.125,-14.0495867768595,244.430796460177,0.117120649956961,"Wet Season","100-250 (cfs)"
