"Station","Date","TRP","TPO4","Month","Day","Time","Year","Hour","Minute","Flowway","Flowpath Region","RANK","TRP Rank","PERCENT_RANK","Scaled_Value","24_hour_mean","TRP Daily Mean","Diff_24_hour_mean","TRP Diff from daily mean","Percent difference from daily mean"
"G381",2012-07-05,1,19,"Jul",5,16.05,2012,16,3,"STA-3/4 Western","Outflow",2,1,0.666666666666667,0.904761904761905,19.3333333333333,1,-0.333333333333332,0,-1.72413793103448
"G381",2012-07-05,1,21,"Jul",5,19.05,2012,19,3,"STA-3/4 Western","Outflow",3,2,1,1,19.3333333333333,1,1.66666666666667,0,8.62068965517242
"G381",2012-07-05,1,18,"Jul",5,22.05,2012,22,3,"STA-3/4 Western","Outflow",1,3,0.333333333333333,0.857142857142857,19.3333333333333,1,-1.33333333333333,0,-6.89655172413793
"G381",2012-07-06,1,13,"Jul",6,1.05,2012,1,3,"STA-3/4 Western","Outflow",2,1,0.375,0.684210526315789,15.25,1.5,-2.25,-0.5,-14.7540983606557
"G381",2012-07-06,4,13,"Jul",6,4.05,2012,4,3,"STA-3/4 Western","Outflow",3,8,0.375,0.684210526315789,15.25,1.5,-2.25,2.5,-14.7540983606557
"G381",2012-07-06,1,12,"Jul",6,7.05,2012,7,3,"STA-3/4 Western","Outflow",1,2,0.125,0.631578947368421,15.25,1.5,-3.25,-0.5,-21.3114754098361
"G381",2012-07-06,1,19,"Jul",6,10.05,2012,10,3,"STA-3/4 Western","Outflow",7,3,1,1,15.25,1.5,3.75,-0.5,24.5901639344262
"G381",2012-07-06,1,19,"Jul",6,13.05,2012,13,3,"STA-3/4 Western","Outflow",8,4,1,1,15.25,1.5,3.75,-0.5,24.5901639344262
"G381",2012-07-06,2,15,"Jul",6,16.05,2012,16,3,"STA-3/4 Western","Outflow",4,7,0.625,0.789473684210526,15.25,1.5,-0.25,0.5,-1.63934426229508
"G381",2012-07-06,1,16,"Jul",6,19.05,2012,19,3,"STA-3/4 Western","Outflow",6,5,0.75,0.842105263157895,15.25,1.5,0.75,-0.5,4.91803278688525
"G381",2012-07-06,1,15,"Jul",6,22.05,2012,22,3,"STA-3/4 Western","Outflow",5,6,0.625,0.789473684210526,15.25,1.5,-0.25,-0.5,-1.63934426229508
"G381",2012-07-07,1,16,"Jul",7,1.05,2012,1,3,"STA-3/4 Western","Outflow",1,1,0.375,0.842105263157895,17,1,-1,0,-5.88235294117647
"G381",2012-07-07,1,16,"Jul",7,4.05,2012,4,3,"STA-3/4 Western","Outflow",2,2,0.375,0.842105263157895,17,1,-1,0,-5.88235294117647
"G381",2012-07-07,1,17,"Jul",7,7.05,2012,7,3,"STA-3/4 Western","Outflow",4,3,0.75,0.894736842105263,17,1,0,0,0
"G381",2012-07-07,1,19,"Jul",7,10.05,2012,10,3,"STA-3/4 Western","Outflow",8,4,1,1,17,1,2,0,11.7647058823529
"G381",2012-07-07,1,18,"Jul",7,13.05,2012,13,3,"STA-3/4 Western","Outflow",7,5,0.875,0.947368421052632,17,1,1,0,5.88235294117647
"G381",2012-07-07,1,17,"Jul",7,16.05,2012,16,3,"STA-3/4 Western","Outflow",5,6,0.75,0.894736842105263,17,1,0,0,0
"G381",2012-07-07,1,16,"Jul",7,19.05,2012,19,3,"STA-3/4 Western","Outflow",3,7,0.375,0.842105263157895,17,1,-1,0,-5.88235294117647
"G381",2012-07-07,1,17,"Jul",7,22.05,2012,22,3,"STA-3/4 Western","Outflow",6,8,0.75,0.894736842105263,17,1,0,0,0
"G381",2012-07-08,1,15,"Jul",8,1.05,2012,1,3,"STA-3/4 Western","Outflow",2,1,0.25,0.833333333333333,16,1,-1,0,-6.25
"G381",2012-07-08,1,16,"Jul",8,4.05,2012,4,3,"STA-3/4 Western","Outflow",3,2,0.75,0.888888888888889,16,1,0,0,0
"G381",2012-07-08,1,14,"Jul",8,7.05,2012,7,3,"STA-3/4 Western","Outflow",1,3,0.125,0.777777777777778,16,1,-2,0,-12.5
"G381",2012-07-08,1,17,"Jul",8,10.05,2012,10,3,"STA-3/4 Western","Outflow",7,4,0.875,0.944444444444444,16,1,1,0,6.25
"G381",2012-07-08,1,18,"Jul",8,13.05,2012,13,3,"STA-3/4 Western","Outflow",8,5,1,1,16,1,2,0,12.5
"G381",2012-07-08,1,16,"Jul",8,16.05,2012,16,3,"STA-3/4 Western","Outflow",4,6,0.75,0.888888888888889,16,1,0,0,0
"G381",2012-07-08,1,16,"Jul",8,19.05,2012,19,3,"STA-3/4 Western","Outflow",5,7,0.75,0.888888888888889,16,1,0,0,0
"G381",2012-07-08,1,16,"Jul",8,22.05,2012,22,3,"STA-3/4 Western","Outflow",6,8,0.75,0.888888888888889,16,1,0,0,0
"G381",2012-07-09,1,15,"Jul",9,1.05,2012,1,3,"STA-3/4 Western","Outflow",2,1,0.5,0.833333333333333,15.875,1,-0.875,0,-5.51181102362205
"G381",2012-07-09,1,14,"Jul",9,4.05,2012,4,3,"STA-3/4 Western","Outflow",1,2,0.125,0.777777777777778,15.875,1,-1.875,0,-11.8110236220472
"G381",2012-07-09,1,16,"Jul",9,7.05,2012,7,3,"STA-3/4 Western","Outflow",5,3,0.75,0.888888888888889,15.875,1,0.125,0,0.78740157480315
"G381",2012-07-09,1,16,"Jul",9,10.05,2012,10,3,"STA-3/4 Western","Outflow",6,4,0.75,0.888888888888889,15.875,1,0.125,0,0.78740157480315
"G381",2012-07-09,1,18,"Jul",9,13.05,2012,13,3,"STA-3/4 Western","Outflow",7,5,1,1,15.875,1,2.125,0,13.3858267716535
"G381",2012-07-09,1,18,"Jul",9,16.05,2012,16,3,"STA-3/4 Western","Outflow",8,6,1,1,15.875,1,2.125,0,13.3858267716535
"G381",2012-07-09,1,15,"Jul",9,19.05,2012,19,3,"STA-3/4 Western","Outflow",3,7,0.5,0.833333333333333,15.875,1,-0.875,0,-5.51181102362205
"G381",2012-07-09,1,15,"Jul",9,22.05,2012,22,3,"STA-3/4 Western","Outflow",4,8,0.5,0.833333333333333,15.875,1,-0.875,0,-5.51181102362205
"G381",2012-07-10,1,16,"Jul",10,1.05,2012,1,3,"STA-3/4 Western","Outflow",4,1,0.625,0.842105263157895,16.125,1.375,-0.125,-0.375,-0.775193798449612
"G381",2012-07-10,1,15,"Jul",10,4.05,2012,4,3,"STA-3/4 Western","Outflow",2,2,0.375,0.789473684210526,16.125,1.375,-1.125,-0.375,-6.97674418604651
"G381",2012-07-10,1,14,"Jul",10,7.05,2012,7,3,"STA-3/4 Western","Outflow",1,3,0.125,0.736842105263158,16.125,1.375,-2.125,-0.375,-13.1782945736434
"G381",2012-07-10,2,19,"Jul",10,10.05,2012,10,3,"STA-3/4 Western","Outflow",8,7,1,1,16.125,1.375,2.875,0.625,17.8294573643411
"G381",2012-07-10,1,15,"Jul",10,13.05,2012,13,3,"STA-3/4 Western","Outflow",3,4,0.375,0.789473684210526,16.125,1.375,-1.125,-0.375,-6.97674418604651
"G381",2012-07-10,3,17,"Jul",10,16.05,2012,16,3,"STA-3/4 Western","Outflow",6,8,0.875,0.894736842105263,16.125,1.375,0.875,1.625,5.42635658914729
"G381",2012-07-10,1,16,"Jul",10,19.05,2012,19,3,"STA-3/4 Western","Outflow",5,5,0.625,0.842105263157895,16.125,1.375,-0.125,-0.375,-0.775193798449612
