Station,Date/Time  ,DATE,TIME,Temp ,SpCond ,DO Conc ,pH
G379,7/12/2012 15:01,7/12/2012,3:01,28.76,0.824,9.71,8.12
G379,7/12/2012 15:16,7/12/2012,3:16,28.84,0.823,10.03,8.16
G379,7/12/2012 15:31,7/12/2012,3:31,28.88,0.822,10.7,8.19
G379,7/12/2012 15:46,7/12/2012,3:46,28.86,0.82,10.95,8.22
G379,7/12/2012 16:01,7/12/2012,4:01,28.92,0.819,11.3,8.25
G379,7/12/2012 16:16,7/12/2012,4:16,28.98,0.818,11.73,8.28
G379,7/12/2012 16:31,7/12/2012,4:31,29.02,0.818,12.13,8.3
G379,7/12/2012 16:46,7/12/2012,4:46,29.05,0.819,11.95,8.31
G379,7/12/2012 17:01,7/12/2012,5:01,29.2,0.82,12.15,8.34
G379,7/12/2012 17:16,7/12/2012,5:16,29.38,0.82,12.33,8.37
G379,7/12/2012 17:31,7/12/2012,5:31,29.53,0.819,12.47,8.39
G379,7/12/2012 17:46,7/12/2012,5:46,29.64,0.818,12.78,8.41
G379,7/12/2012 18:01,7/12/2012,6:01,29.75,0.817,13.15,8.43
G379,7/12/2012 18:16,7/12/2012,6:16,29.8,0.814,13.48,8.45
G379,7/12/2012 18:31,7/12/2012,6:31,29.78,0.812,14.02,8.47
G379,7/12/2012 18:46,7/12/2012,6:46,29.83,0.81,14,8.48
G379,7/12/2012 19:01,7/12/2012,7:01,29.75,0.808,14.49,8.51
G379,7/12/2012 19:16,7/12/2012,7:16,29.67,0.804,14.69,8.52
G379,7/12/2012 19:31,7/12/2012,7:31,29.52,0.803,14.53,8.53
G379,7/12/2012 19:46,7/12/2012,7:46,29.45,0.801,14.66,8.53
G379,7/12/2012 20:01,7/12/2012,8:01,29.34,0.801,14.46,8.51
G379,7/12/2012 20:16,7/12/2012,8:16,29.24,0.801,14.27,8.51
G379,7/12/2012 20:31,7/12/2012,8:31,29.11,0.8,14.26,8.5
G379,7/12/2012 20:46,7/12/2012,8:46,29,0.8,14.1,8.49
G379,7/12/2012 21:01,7/12/2012,9:01,28.97,0.799,13.81,8.48
G379,7/12/2012 21:16,7/12/2012,9:16,28.89,0.799,13.58,8.46
G379,7/12/2012 21:31,7/12/2012,9:31,28.76,0.799,13.34,8.43
